title,film_year,watched_date,rating,tags,review,link,poster_url,rewatch,tmdb_id
Iverson,2014.0,2019-01-01,3.0,"netflix, streaming",,https://letterboxd.com/farbeach/film/iverson/,https://a.ltrbxd.com/resized/film-poster/1/8/9/7/0/2/189702-iverson-0-600-0-900-crop.jpg?v=c3f74acfab,,
Mary Poppins Returns,2018.0,2019-01-02,4.0,"imax, cinema","Good actors, nice story, can't remember the songs anymore, but I remember I enjoyed the music.",https://letterboxd.com/farbeach/film/another-day-of-life/,https://a.ltrbxd.com/resized/film-poster/3/1/3/3/0/6/313306-another-day-of-life-0-600-0-900-crop.jpg?v=9db2c27b04,,
The Grinch,2018.0,2019-01-02,2.0,"finnkino, cinema","I don't think it added anything to the world of Dr Seuss, Grinch, or movies. Sofia was bored.",https://letterboxd.com/farbeach/film/the-grinch/,https://a.ltrbxd.com/resized/film-poster/2/9/2/6/8/8/292688-the-grinch-0-600-0-900-crop.jpg?v=0006db6665,,
Spider-Man: Into the Spider-Verse,2018.0,2019-01-03,5.0,"finnkino, cinema",Animation playing to its strenghts. A comic book movie should be animated - what a revelation!,https://letterboxd.com/farbeach/film/spider-man-into-the-spider-verse/,https://a.ltrbxd.com/resized/film-poster/2/5/1/9/4/3/251943-spider-man-into-the-spider-verse-0-600-0-900-crop.jpg?v=538fe0ada6,,
Shoplifters,2018.0,2019-01-09,5.0,"riviera, cinema","Good acting, also from kids. A different kind of story. Excellent.",https://letterboxd.com/farbeach/film/shoplifters/,https://a.ltrbxd.com/resized/film-poster/4/3/5/1/2/9/435129-shoplifters-0-600-0-900-crop.jpg?v=f4c3e34d37,,
The Meyerowitz Stories (New and Selected),2017.0,2019-01-09,4.0,"netflix, streaming","I liked the vibe, the feel of the movie, and the characters. Story itself was nothing groundbreaking.",https://letterboxd.com/farbeach/film/the-meyerowitz-stories-new-and-selected/,,,
Call Me by Your Name,2017.0,2019-01-11,4.0,"riviera, cinema",Excellent depiction of teenage first crush,https://letterboxd.com/farbeach/film/call-me-by-your-name/,,,
Moonstruck,1987.0,2019-01-11,3.0,"amazon, streaming",I liked Nicholas Cage in this. Overall a bit forgettable story.,https://letterboxd.com/farbeach/film/moonstruck/,https://a.ltrbxd.com/resized/film-poster/5/0/5/7/5/50575-moonstruck-0-600-0-900-crop.jpg?v=ec942da30b,,
Inside Llewyn Davis,2013.0,2019-01-16,4.0,"amazon, streaming",First Oscar Isaac movie I've seen aside from Star Wars. In Star Wars maybe he didn't have a chance to shine as much. This was 100% focused on his character and he carried it really well. I'm a fan.,https://letterboxd.com/farbeach/film/inside-llewyn-davis/,https://a.ltrbxd.com/resized/film-poster/7/3/3/6/7/73367-inside-llewyn-davis-0-600-0-900-crop.jpg?v=df06f071fa,,
Green Book,2018.0,2019-01-18,4.0,"kino engel, cinema","Really good main actors, and the story was also a bit different from other movies. I'd say that the ""familiarity removes hate"" theme was not the focus of this movie and it worked here.",https://letterboxd.com/farbeach/film/green-book/,https://a.ltrbxd.com/resized/film-poster/4/2/0/7/0/3/420703-green-book-0-600-0-900-crop.jpg?v=9919fcce4c,,
