artist,plays,first_played,last_played,tracks,loved_tracks,years
Taylor Swift,1939,2008-08-03,2026-09-06,249,0,2008:8|2010:17|2011:6|2012:4|2013:12|2019:4|2020:126|2021:323|2022:67|2023:140|2024:555|2025:498|2026:179
Red Hot Chili Peppers,1198,2006-02-28,2026-07-15,139,0,2006:148|2007:92|2008:90|2009:156|2010:212|2011:55|2012:115|2013:77|2014:16|2015:4|2017:60|2018:4|2019:24|2020:1|2021:13|2022:17|2023:14|2024:57|2025:38|2026:5
The Beatles,1136,2006-02-28,2026-05-13,179,0,2006:247|2007:206|2008:137|2009:164|2010:219|2011:17|2012:11|2013:79|2019:5|2021:12|2022:1|2024:14|2025:2|2026:22
Thievery Corporation,946,2006-02-28,2026-05-25,225,0,2006:142|2007:78|2008:113|2009:96|2010:116|2011:1|2012:162|2013:107|2014:18|2015:12|2017:61|2018:4|2019:5|2021:8|2023:1|2024:8|2025:1|2026:13
Weezer,845,2006-03-18,2026-07-20,132,0,2006:11|2007:7|2008:22|2009:105|2010:441|2011:34|2012:16|2013:21|2014:4|2015:53|2017:57|2018:3|2019:1|2020:17|2021:37|2022:1|2023:5|2025:7|2026:3
Manu Chao,756,2006-03-01,2026-07-28,129,0,2006:183|2007:89|2008:40|2009:106|2010:211|2012:42|2013:48|2015:28|2023:2|2024:1|2025:5|2026:1
Dave Matthews Band,676,2006-02-28,2026-05-10,129,0,2006:85|2007:66|2008:38|2009:156|2010:175|2011:5|2012:52|2013:45|2014:3|2015:1|2017:1|2019:15|2020:5|2022:6|2023:19|2025:3|2026:1
Stéphane Pompougnac,633,2006-03-01,2025-07-17,141,0,2006:189|2007:70|2008:34|2009:42|2010:70|2011:6|2012:149|2013:25|2014:1|2015:6|2019:33|2021:6|2025:2
Green Day,631,2006-03-02,2026-07-15,158,0,2006:6|2007:6|2008:6|2009:156|2010:118|2011:22|2012:25|2013:32|2014:33|2015:125|2017:51|2018:1|2020:1|2021:5|2022:2|2023:18|2024:2|2025:6|2026:16
Dimitri from Paris,608,2006-03-01,2012-09-17,195,0,2006:237|2007:116|2008:118|2009:50|2010:62|2011:4|2012:21
Pink Floyd,583,2006-03-01,2026-01-12,112,0,2006:26|2007:12|2008:33|2009:204|2010:126|2011:29|2012:21|2014:5|2015:1|2021:49|2022:17|2023:1|2024:22|2025:36|2026:1
The Killers,506,2006-10-26,2026-06-01,76,0,2006:8|2007:29|2008:130|2009:128|2010:83|2011:58|2012:20|2013:22|2015:1|2020:2|2022:5|2023:2|2024:3|2025:3|2026:12
Daft Punk,489,2006-03-02,2026-08-28,101,0,2006:45|2007:31|2008:6|2009:43|2010:8|2011:19|2012:31|2013:100|2014:30|2015:2|2016:1|2017:10|2018:1|2020:4|2021:10|2022:15|2023:21|2024:6|2025:53|2026:53
blink-182,455,2006-03-03,2026-07-19,113,0,2006:6|2007:4|2008:5|2009:3|2010:43|2011:135|2012:3|2013:40|2014:1|2015:38|2017:3|2019:13|2020:1|2021:32|2022:3|2023:40|2025:47|2026:38
Tapio Rautavaara,446,2008-08-13,2024-04-29,40,0,2008:10|2009:9|2010:8|2011:1|2020:199|2021:201|2022:16|2024:2
Wyclef Jean,442,2006-03-30,2020-07-10,135,0,2006:134|2007:81|2008:110|2009:25|2010:54|2011:1|2012:2|2017:29|2018:1|2020:5
Tea,426,2020-10-13,2024-04-29,11,0,2020:114|2021:305|2022:4|2024:3
fun.,421,2012-04-24,2026-07-12,33,0,2012:57|2013:262|2014:1|2015:2|2019:9|2021:7|2022:3|2024:3|2025:65|2026:12
Avicii,409,2012-03-31,2025-06-08,75,0,2012:125|2013:14|2014:3|2015:27|2017:13|2019:9|2021:43|2022:17|2023:31|2024:84|2025:43
Goo Goo Dolls,398,2006-04-01,2026-07-12,100,0,2006:4|2007:21|2008:21|2009:50|2010:58|2011:11|2012:47|2013:15|2014:1|2015:22|2017:25|2018:1|2019:27|2020:59|2021:6|2022:5|2023:4|2024:14|2026:7
Basement Jaxx,390,2006-03-30,2026-04-28,119,0,2006:69|2007:50|2008:47|2009:23|2010:22|2011:4|2012:98|2013:52|2014:14|2017:2|2021:8|2026:1
Seu Jorge,381,2006-02-27,2026-05-08,67,0,2006:70|2007:16|2008:64|2009:72|2010:40|2012:43|2013:47|2014:9|2015:4|2017:2|2022:10|2023:1|2026:3
Billie Eilish,373,2019-06-28,2026-09-06,60,0,2019:1|2021:3|2022:2|2023:2|2024:54|2025:50|2026:261
Bruce Springsteen,366,2006-03-02,2026-06-05,109,0,2006:12|2007:18|2008:46|2009:72|2010:68|2011:35|2012:7|2013:2|2014:3|2015:1|2020:3|2021:36|2022:1|2023:54|2024:1|2025:2|2026:5
Matchbox Twenty,344,2006-02-28,2026-05-20,74,0,2006:6|2007:4|2008:13|2009:6|2010:27|2011:13|2012:39|2013:62|2014:8|2015:11|2017:35|2018:1|2020:14|2021:25|2023:7|2025:18|2026:55
Radiohead,329,2006-03-02,2026-07-15,95,0,2006:9|2007:28|2008:12|2009:10|2010:15|2011:5|2012:2|2013:7|2014:1|2015:3|2017:5|2020:8|2021:12|2022:51|2023:73|2024:83|2026:5
Coldplay,327,2006-03-01,2026-07-24,72,0,2006:13|2007:6|2008:23|2009:29|2010:55|2011:11|2012:21|2013:6|2015:4|2017:3|2019:13|2021:5|2022:20|2023:19|2024:40|2025:29|2026:30
Oasis,321,2006-03-31,2026-07-20,61,0,2006:56|2007:33|2008:17|2009:21|2010:33|2011:16|2012:25|2013:14|2014:1|2015:10|2017:3|2019:2|2021:69|2022:5|2023:2|2024:10|2026:4
Gorillaz,317,2006-04-01,2026-04-29,110,0,2006:9|2007:52|2008:10|2009:33|2010:100|2011:6|2012:1|2013:17|2014:1|2015:2|2017:21|2019:1|2020:3|2022:26|2023:9|2025:19|2026:7
Amadou & Mariam,314,2006-03-30,2026-05-18,98,0,2006:43|2007:16|2008:40|2009:87|2010:32|2011:3|2012:26|2013:37|2015:1|2017:12|2019:6|2022:1|2023:8|2025:1|2026:1
Gym Class Heroes,308,2007-08-03,2026-06-01,74,0,2007:22|2008:1|2009:3|2010:172|2011:6|2012:2|2013:20|2017:1|2019:16|2021:21|2022:6|2023:1|2024:11|2025:14|2026:12
Robin,307,2020-10-26,2026-08-04,5,0,2020:86|2021:211|2022:1|2023:4|2024:3|2026:2
Bob Marley & The Wailers,304,2006-04-02,2022-10-21,71,0,2006:13|2007:34|2008:59|2009:31|2010:66|2011:30|2012:54|2013:1|2014:2|2015:7|2017:2|2021:4|2022:1
Avril Lavigne,303,2006-05-10,2026-07-18,85,0,2006:5|2007:11|2008:33|2009:8|2010:33|2011:33|2012:4|2014:1|2017:9|2018:1|2020:32|2021:20|2022:21|2023:24|2024:1|2025:21|2026:46
Vampire Weekend,298,2008-11-24,2026-07-15,63,0,2008:14|2009:40|2010:118|2011:4|2012:20|2013:43|2015:1|2017:1|2019:8|2021:10|2023:14|2024:10|2025:14|2026:1
David Bowie,293,2006-03-01,2026-05-31,83,0,2006:64|2007:32|2008:30|2009:46|2010:50|2011:2|2012:3|2013:20|2014:4|2015:2|2019:1|2021:1|2022:26|2023:2|2024:3|2026:7
The Smashing Pumpkins,293,2006-03-01,2026-07-15,67,0,2006:18|2007:15|2008:32|2009:41|2010:112|2011:11|2012:5|2013:6|2015:1|2017:3|2019:2|2021:1|2022:1|2023:1|2024:3|2025:7|2026:34
Alicia Keys,291,2007-11-03,2026-07-15,74,0,2007:1|2008:85|2009:86|2010:64|2012:35|2013:1|2014:3|2015:5|2017:2|2019:1|2020:1|2021:1|2022:3|2023:1|2025:1|2026:1
Tom Petty and The Heartbreakers,291,2006-03-01,2026-05-18,24,0,2006:18|2007:55|2008:26|2009:47|2010:86|2011:20|2012:5|2013:9|2017:1|2022:2|2023:8|2026:14
Sia,282,2012-04-24,2026-07-19,107,0,2012:4|2013:1|2014:11|2015:6|2017:23|2018:2|2020:121|2021:30|2022:6|2023:11|2024:61|2025:2|2026:4
Imagine Dragons,274,2013-03-04,2026-03-12,110,0,2013:7|2014:26|2015:1|2017:5|2019:6|2020:2|2021:1|2022:17|2023:4|2024:80|2025:93|2026:32
The National,270,2010-09-07,2026-07-15,75,0,2010:126|2011:11|2013:24|2014:34|2017:2|2020:3|2021:1|2023:36|2024:29|2025:3|2026:1
Phish,261,2006-03-02,2026-05-17,76,0,2006:19|2007:29|2008:18|2009:32|2010:95|2011:1|2012:1|2013:20|2014:39|2015:1|2017:2|2019:1|2022:1|2026:2
Of Monsters and Men,259,2012-05-05,2026-03-12,51,0,2012:27|2013:60|2014:2|2015:28|2017:28|2018:4|2019:12|2020:4|2021:26|2023:23|2024:1|2025:16|2026:28
