match_artist,match_track,artist,album,track,note
Disney,Son of Man,Phil Collins,Tarzan (Original Soundtrack),Son of Man,
Disney,You'll Be In My Heart,Phil Collins,Tarzan (Original Soundtrack),You'll Be in My Heart,
Disney,You'll Be In My Heart (Phil C,Phil Collins,Tarzan (Original Soundtrack),You'll Be in My Heart (Phil Collins Version),title was truncated by iTunes
Disney,Strangers like me,Phil Collins,Tarzan (Original Soundtrack),Strangers Like Me,
Disney,Two Worlds (Phil Collins),Phil Collins,Tarzan (Original Soundtrack),Two Worlds,
Disney,Two Worlds Finale,Phil Collins,Tarzan (Original Soundtrack),Two Worlds (Finale),
Disney,Trashin The Camp,Phil Collins & Rosie O'Donnell,Tarzan (Original Soundtrack),Trashin' the Camp,film version
Disney,Trashin the Camp (Phil Collin,Phil Collins & *NSYNC,Tarzan (Original Soundtrack),Trashin' the Camp (Phil Collins and *NSYNC Version),title was truncated by iTunes
Disney,A Wondrous Place (Score),Mark Mancina,Tarzan (Original Soundtrack),A Wondrous Place (Score),score
Disney,"Moves Like an Ape, Looks Like",Mark Mancina,Tarzan (Original Soundtrack),"Moves Like an Ape, Looks Like a Man (Score)",score; title was truncated
Disney,The Gorillas,Mark Mancina,Tarzan (Original Soundtrack),The Gorillas (Score),score
Disney,One Family,Mark Mancina,Tarzan (Original Soundtrack),One Family (Score),score
Disney,Hawaiian Roller Coaster Ride,Mark Keali'i Ho'omalu & Kamehameha Schools Children's Chorus,Lilo & Stitch (Original Soundtrack),Hawaiian Roller Coaster Ride,
Disney,He Mele No Lilo,Mark Keali'i Ho'omalu & Kamehameha Schools Children's Chorus,Lilo & Stitch (Original Soundtrack),He Mele No Lilo,
Disney,Can't Help Falling In Love,A*Teens,Lilo & Stitch (Original Soundtrack),Can't Help Falling in Love,the soundtrack's end-credits cover; Elvis if it was his
Disney,The Old Hawaiian Way,Kamehameha Schools Children's Chorus,Lilo & Stitch Island Favorites,The Old Hawaiian Way,
Disney,Circle Of Life,Carmen Twillie & Lebo M.,The Lion King (Original Soundtrack),Circle of Life,film version (Elton John recorded the pop version)
Disney,Hakuna Matata,"Nathan Lane, Ernie Sabella, Jason Weaver & Joseph Williams",The Lion King (Original Soundtrack),Hakuna Matata,
Disney,Can You Feel the Love Tonight,"Joseph Williams, Sally Dworsky, Nathan Lane, Ernie Sabella & Kristle Edwards",The Lion King (Original Soundtrack),Can You Feel the Love Tonight,film version (Elton John recorded the pop version)
Disney,I Just Can't Wait to Be King,"Jason Weaver, Rowan Atkinson & Laura Williams",The Lion King (Original Soundtrack),I Just Can't Wait to Be King,
Disney,A Whole New World,Brad Kane & Lea Salonga,Aladdin (Original Soundtrack),A Whole New World,film version (Peabo Bryson & Regina Belle recorded the pop version)
Disney,Arabian Nights,Bruce Adler,Aladdin (Original Soundtrack),Arabian Nights,
Disney,Friend Like Me,Robin Williams,Aladdin (Original Soundtrack),Friend Like Me,
Disney,Prince Ali,Robin Williams,Aladdin (Original Soundtrack),Prince Ali,
Disney,One Jump Ahead,Brad Kane,Aladdin (Original Soundtrack),One Jump Ahead,
Disney,Belle's Song,Paige O'Hara & Richard White,Beauty and the Beast (Original Soundtrack),Belle,
Disney,Beauty and the Beast,Angela Lansbury,Beauty and the Beast (Original Soundtrack),Beauty and the Beast,film version (Céline Dion & Peabo Bryson recorded the pop version)
Disney,Kiss the Girl,Samuel E. Wright,The Little Mermaid (Original Soundtrack),Kiss the Girl,
Disney,Under The Sea,Samuel E. Wright,The Little Mermaid (Original Soundtrack),Under the Sea,
Disney,Poor Unfortunate Souls,Pat Carroll,The Little Mermaid (Original Soundtrack),Poor Unfortunate Souls,
Disney,Here On The Land and Sea,"Jodi Benson, Tara Charendoff & Samuel E. Wright",The Little Mermaid II: Return to the Sea (Original Soundtrack),Here on the Land and Sea,
Disney,Reflection,Lea Salonga,Mulan (Original Soundtrack),Reflection,film version (Christina Aguilera recorded the pop version)
Disney,Colors of the wind by Vanessa Williams,Vanessa Williams,Pocahontas (Original Soundtrack),Colors of the Wind,"end-title version, as the old title said"
Disney,Go the Distance,Roger Bart,Hercules (Original Soundtrack),Go the Distance,film version (Michael Bolton recorded the pop version)
Disney,I Won't Say I'm In Love,Susan Egan & The Muses,Hercules (Original Soundtrack),I Won't Say (I'm in Love),
Disney,Out There,Tom Hulce,The Hunchback of Notre Dame (Original Soundtrack),Out There,
Disney,God Help the Outcasts,Heidi Mollenhauer,The Hunchback of Notre Dame (Original Soundtrack),God Help the Outcasts,film version (Bette Midler recorded the pop version)
Disney,The Bells of Notre Dame,"Paul Kandel, David Ogden Stiers & Tony Jay",The Hunchback of Notre Dame (Original Soundtrack),The Bells of Notre Dame,
Disney,Love Is a Song,Donald Novis,Bambi (Original Soundtrack),Love Is a Song,
Disney,A Dream Is A Wish Your Heart Makes,Ilene Woods,Cinderella (Original Soundtrack),A Dream Is a Wish Your Heart Makes,
Disney,The Work Song,Cast of Cinderella,Cinderella (Original Soundtrack),The Work Song,sung by the mice (James MacDonald and chorus)
Disney,Some Day My Prince Will Come,Adriana Caselotti,Snow White and the Seven Dwarfs (Original Soundtrack),Some Day My Prince Will Come,
Disney,Chim Chim Cher-ee,Dick Van Dyke & Julie Andrews,Mary Poppins (Original Soundtrack),Chim Chim Cher-ee,
Disney,A Spoonful of Sugar,Julie Andrews,Mary Poppins (Original Soundtrack),A Spoonful of Sugar,
Disney,Jolly Holiday,Julie Andrews & Dick Van Dyke,Mary Poppins (Original Soundtrack),Jolly Holiday,
Disney,Dance of the reed flutes,Philadelphia Orchestra & Leopold Stokowski,Fantasia (Original Soundtrack),The Nutcracker Suite: Dance of the Reed Flutes,Tchaikovsky; Fantasia's recording
Disney,Somewhere Out There,Linda Ronstadt & James Ingram,An American Tail (Original Soundtrack),Somewhere Out There,"Universal/Amblin, not Disney; end-title version (film version is Phillip Glasser & Betsy Cathcart)"
